University Name,Private,Apps,Accept,Enroll,Top10perc,Top25perc
Central College,Yes,1283,1113,401,31,65
Central Connecticut State University,No,4158,2532,902,6,24
Central Missouri State University,No,4681,4101,1436,10,35
Central Washington University,No,2785,2011,1007,8,65
Central Wesleyan College,Yes,174,146,88,8,29
Centre College,Yes,1013,888,288,55,82
Chapman University,Yes,959,771,351,23,48
Chatham College,Yes,212,197,91,28,56
Chestnut Hill College,Yes,342,254,126,25,64
Christendom College,Yes,81,72,51,33,71
Christian Brothers University,Yes,880,520,224,16,42
Christopher Newport University,No,883,766,428,3,37
Claflin College,Yes,1196,697,499,21,47
Claremont McKenna College,Yes,1860,767,227,71,93
Clark University,Yes,2887,2059,457,30,61
Clarke College,Yes,460,340,167,14,45
Clarkson University,Yes,2174,1953,557,35,68
Clinch Valley Coll. of  the Univ. of Virginia,No,689,561,250,15,30
Coe College,Yes,1006,742,275,29,60
Coker College,Yes,604,452,295,15,47
Colby College,Yes,2848,1319,456,58,84
Colgate University,Yes,4856,2492,727,46,75
College Misericordia,Yes,1432,888,317,29,58
College of Charleston,No,4772,3140,1265,22,55
College of Mount St. Joseph,Yes,798,620,238,14,41
College of Mount St. Vincent,Yes,946,648,177,23,46
College of Notre Dame,Yes,344,264,97,11,42
College of Notre Dame of Maryland,Yes,457,356,177,35,61
College of Saint Benedict,Yes,938,864,511,29,62
College of Saint Catherine,Yes,511,411,186,23,51
College of Saint Elizabeth,Yes,444,359,122,34,53
College of Saint Rose,Yes,983,664,249,23,57
College of Santa Fe,Yes,546,447,189,16,42
College of St. Joseph,Yes,141,118,55,12,21
College of St. Scholastica,Yes,672,596,278,29,60
College of the Holy Cross,Yes,2994,1691,659,70,95
College of William and Mary,No,7117,3106,1217,68,88
College of Wooster,Yes,2100,1883,553,29,65
Colorado College,Yes,3207,1577,490,56,87
Columbia College MO,Yes,314,158,132,10,28
Columbia College,Yes,737,614,242,21,67
Columbia University,Yes,6756,1930,871,78,96
Concordia College at St. Paul,Yes,281,266,139,13,29
Concordia Lutheran College,Yes,232,216,106,16,34
Concordia University CA,Yes,688,497,144,30,75
Concordia University,Yes,528,403,186,22,56
Connecticut College,Yes,3035,1546,438,42,93
Converse College,Yes,440,407,149,35,70
Cornell College,Yes,1538,1329,383,33,68
Creighton University,Yes,2967,2836,876,30,60
Culver-Stockton College,Yes,1576,1110,274,24,55
Cumberland College,Yes,995,789,398,26,47
D'Youville College,Yes,866,619,157,18,47
Dana College,Yes,504,482,185,10,36
Daniel Webster College,Yes,585,508,153,12,30
Dartmouth College,Yes,8587,2273,1087,87,99
Davidson College,Yes,2373,956,452,77,96
Defiance College,Yes,571,461,174,10,26
Delta State University,No,967,945,459,15,48
Denison University,Yes,2762,2279,533,32,60
DePauw University,Yes,1994,1656,495,50,80
Dickinson College,Yes,3014,2539,487,31,68
Dickinson State University,No,434,412,319,10,30
Dillard University,Yes,1998,1376,651,41,88
Doane College,Yes,793,709,244,20,47
Dominican College of Blauvelt,Yes,360,329,108,4,19
Dordt College,Yes,604,562,328,25,50
Dowling College,Yes,1011,829,410,9,33
Drake University,Yes,2799,2573,839,34,65
Drew University,Yes,2153,1580,321,56,84
Drury College,Yes,700,650,314,33,66
Duke University,Yes,13789,3893,1583,90,98
Earlham College,Yes,1358,1006,274,35,63
East Tennessee State University,No,3330,2730,1303,15,36
East Texas Baptist University,Yes,379,341,265,10,36
Eastern College,Yes,458,369,165,16,42
Eastern Connecticut State University,No,2172,1493,564,14,50
Eastern Illinois University,No,5597,4253,1565,12,38
Eastern Mennonite College,Yes,486,440,227,19,48
Eastern Nazarene College,Yes,516,409,200,17,40
Eckerd College,Yes,1422,1109,366,33,65
Elizabethtown College,Yes,2417,1843,426,36,70
Elmira College,Yes,1457,1045,345,27,50
Elms College,Yes,245,208,125,23,46
Elon College,Yes,3624,2786,858,11,39
Embry Riddle Aeronautical University,Yes,3151,2584,958,14,40
Emory & Henry College,Yes,765,646,226,30,60
Emory University,Yes,8506,4168,1236,76,97
Emporia State University,No,1256,1256,853,43,79
Erskine College,Yes,659,557,167,47,74
Eureka College,Yes,560,454,113,36,56
Evergreen State College,No,1801,1101,438,14,50
Fairfield University,Yes,4784,3346,781,30,66
Fayetteville State University,No,1455,1064,452,1,16
Ferrum College,Yes,1339,1107,336,12,36
Flagler College,Yes,1415,714,338,18,52
Florida Institute of Technology,Yes,1947,1580,523,39,74
Florida International University,No,3306,2079,1071,42,89
Florida Southern College,Yes,1381,1040,374,20,44
Fontbonne College,Yes,291,245,126,16,49
Fordham University,Yes,4200,2874,942,30,55
Fort Lewis College,No,3440,2823,1123,16,35
Francis Marion University,No,1801,1655,819,13,38
Franciscan University of Steubenville,Yes,553,452,228,22,49
Franklin College,Yes,804,632,281,29,72
Franklin Pierce College,Yes,5187,4471,446,3,14
Freed-Hardeman University,Yes,895,548,314,20,54
Fresno Pacific College,Yes,346,274,146,51,87
Furman University,Yes,2161,1951,685,56,82
Gannon University,Yes,2464,1908,678,24,57
Gardner Webb University,Yes,1110,930,332,18,36
Geneva College,Yes,668,534,237,19,39
George Fox College,Yes,809,726,294,27,52
George Mason University,No,5653,4326,1727,17,29
Georgetown College,Yes,727,693,286,30,55
Georgetown University,Yes,11115,2881,1390,71,93
Georgia Institute of Technology,No,7837,4527,2276,89,99
Georgia State University,No,3793,2341,1238,9,24
Georgian Court College,Yes,348,281,127,12,52
Gettysburg College,Yes,3596,2466,575,42,78
Goldey Beacom College,Yes,633,468,284,10,27
Gonzaga University,Yes,1886,1524,526,31,67
Gordon College,Yes,674,565,282,25,54
Goshen College,Yes,440,396,221,26,51
Goucher College,Yes,1151,813,248,40,64
Grace College and Seminary,Yes,548,428,167,18,46
Graceland College,Yes,555,414,242,14,41
Grand Valley State University,No,5165,3887,1561,20,60
Green Mountain College,Yes,780,628,198,7,20
Greensboro College,Yes,608,494,176,10,31
Greenville College,Yes,510,387,194,20,46
Grinnell College,Yes,2039,1389,432,56,91
Grove City College,Yes,2491,1110,573,57,88
Guilford College,Yes,1202,1054,326,18,44
Gustavus Adolphus College,Yes,1709,1385,634,36,72
Gwynedd Mercy College,Yes,380,237,104,30,56
Hamilton College,Yes,3140,1783,454,40,82
Hamline University,Yes,1006,825,328,34,73
Hampden - Sydney College,Yes,817,644,307,20,40
Hampton University,Yes,7178,3755,1433,25,63
Hanover College,Yes,1006,837,317,33,65
Hardin-Simmons University,Yes,467,424,350,16,40
Harding University,Yes,1721,1068,806,35,75
Hartwick College,Yes,2083,1725,430,22,49
Harvard University,Yes,13865,2165,1606,90,100
Harvey Mudd College,Yes,1377,572,178,95,100
Hastings College,Yes,817,708,262,22,52
Hendrix College,Yes,823,721,274,52,87
Hillsdale College,Yes,920,745,347,35,66
Hiram College,Yes,922,729,244,37,66
Hobart and William Smith Colleges,Yes,2688,2081,500,25,53
Hollins College,Yes,602,498,215,26,58
Hood College,Yes,699,565,176,36,64
Hope College,Yes,1712,1483,624,37,69
Houghton College,Yes,949,786,302,30,70
Huntingdon College,Yes,608,520,127,26,47
Huntington College,Yes,450,430,125,20,46
Huron University,Yes,600,197,124,3,9
Husson College,Yes,723,652,361,10,30
Illinois Benedictine College,Yes,607,558,269,22,47
Illinois College,Yes,894,787,262,28,63
Illinois Institute of Technology,Yes,1756,1360,478,42,77
Illinois Wesleyan University,Yes,3050,1342,471,55,86
Immaculata College,Yes,268,253,103,16,44
Incarnate Word College,Yes,1163,927,386,16,49
Indiana State University,No,5659,4761,3147,10,31
Indiana Wesleyan University,Yes,735,423,366,20,48
Iona College,Yes,4892,3530,913,13,33
Jamestown College,Yes,472,410,262,14,41
Jersey City State College,No,2957,1423,691,10,30
John Brown University,Yes,605,405,284,24,53
John Carroll University,Yes,2421,2109,820,27,57
Johns Hopkins University,Yes,8474,3446,911,75,94
Johnson State College,No,833,669,279,3,13
Judson College,Yes,313,228,137,10,30
Juniata College,Yes,1005,859,298,36,55
Kansas State University,No,5880,4075,2833,25,55
Kansas Wesleyan University,Yes,589,575,148,16,40
Keene State College,No,3121,2446,822,5,19
Kentucky Wesleyan College,Yes,584,497,175,20,49
Kenyon College,Yes,2212,1538,408,44,75
Keuka College,Yes,461,381,174,10,43
King's College,Yes,1456,1053,381,20,45
King College,Yes,355,300,142,34,65
Knox College,Yes,1040,845,286,48,77
La Roche College,Yes,361,321,185,10,41
La Salle University,Yes,2929,1834,622,20,56
Lafayette College,Yes,4010,2402,572,36,59
LaGrange College,Yes,544,399,177,15,35
Lake Forest College,Yes,979,638,271,31,70
Lakeland College,Yes,497,452,231,24,47
Lamar University,No,2336,1725,1043,10,27
Lambuth University,Yes,831,538,224,15,35
Lander University,No,1166,1009,510,9,33
Lawrence University,Yes,1243,947,324,50,77
Le Moyne College,Yes,1470,1199,425,21,76
Lebanon Valley College,Yes,1386,1060,320,28,56
Lehigh University,Yes,6397,4304,1092,40,84
Lenoir-Rhyne College,Yes,979,743,259,25,46
Lesley College,Yes,244,198,82,12,33
LeTourneau University,Yes,477,417,204,29,54
Lewis and Clark College,Yes,2774,2092,482,35,64
Lewis University,Yes,1154,1050,395,12,31
Lincoln Memorial University,Yes,787,562,363,21,55
Lincoln University,No,1660,1091,326,15,41
Lindenwood College,Yes,810,484,356,6,33
Linfield College,Yes,1561,1188,458,48,72
Livingstone College,Yes,900,473,217,22,47
Lock Haven University of Pennsylvania,No,3570,2215,651,17,41
Longwood College,No,2747,1870,724,12,47
Loras College,Yes,1641,1283,527,20,39
Louisiana College,Yes,2013,1053,212,33,61
Louisiana State University at Baton Rouge,No,5996,4993,3079,29,57
Louisiana Tech University,No,2397,2144,1525,22,45
Loyola College,Yes,4076,3137,738,25,54
Loyola Marymount University,Yes,3768,2662,753,42,64
Loyola University,Yes,1891,1698,719,24,80
Loyola University Chicago,Yes,3579,2959,868,25,55
Luther College,Yes,1549,1392,587,38,72
Lycoming College,Yes,1286,1005,363,16,37
Lynchburg College,Yes,1756,1500,366,3,21
Lyndon State College,No,535,502,223,6,20
Macalester College,Yes,2939,1496,452,56,86
MacMurray College,Yes,740,558,177,12,29
Malone College,Yes,874,758,428,21,46
Manchester College,Yes,1004,802,239,23,63
Manhattan College,Yes,2432,1730,563,20,63
Manhattanville College,Yes,962,750,212,21,54
Mankato State University,No,3073,2672,1547,9,29
Marian College of Fond du Lac,Yes,824,670,337,15,41
Marietta College,Yes,1611,960,342,27,60
Marist College,Yes,4731,3171,830,12,31
Marquette University,Yes,5152,4600,1685,36,71
Marshall University,Yes,4226,3666,2007,14,60
Mary Baldwin College,Yes,499,441,199,26,52
Mary Washington College,No,4350,2178,756,39,78
Marymount College Tarrytown,Yes,478,327,117,9,34
Marymount Manhattan College,Yes,695,535,239,21,30
Marymount University,Yes,941,772,214,10,30
Maryville College,Yes,1464,888,176,26,52
Maryville University,Yes,549,397,169,26,51
Marywood College,Yes,1107,859,323,13,51
Massachusetts Institute of Technology,Yes,6411,2140,1078,96,99
Mayville State University,No,233,233,153,5,12
McKendree College,Yes,1002,555,119,16,43
McMurry University,Yes,578,411,187,25,50
McPherson College,Yes,420,293,93,11,32
Mercer University,Yes,2286,1668,564,37,70
Mercyhurst College,Yes,1557,1074,397,15,40
Meredith College,Yes,857,772,376,25,58
Merrimack College,Yes,1981,1541,514,18,36
Mesa State College,No,1584,1456,891,6,18
Messiah College,Yes,1742,1382,607,30,64
Michigan Technological University,No,2618,2288,1032,42,77
MidAmerica Nazarene College,Yes,331,331,225,15,36
Millersville University of Penn.,No,6011,3075,960,22,60
Milligan College,Yes,610,461,189,26,52
Millikin University,Yes,1444,1261,456,29,62
Millsaps College,Yes,905,834,319,32,61
Milwaukee School of Engineering,Yes,1217,1088,496,36,69
Mississippi College,Yes,594,385,307,36,57
Mississippi State University,No,4255,3277,1609,18,57
Mississippi University for Women,No,480,405,380,19,46
Missouri Southern State College,No,1576,1326,913,13,50
Missouri Valley College,Yes,1310,983,316,5,35
Monmouth College IL,Yes,601,503,204,28,57
Monmouth College,Yes,2707,1881,478,14,34
Montana College of Mineral Sci. & Tech.,No,572,544,320,45,72
Montana State University,No,3500,2836,1779,15,42
Montclair State University,No,5220,2128,865,19,53
Montreat-Anderson College,Yes,263,223,103,10,24
Moorhead State University,No,2442,2164,1189,12,37
Moravian College,Yes,1232,955,303,23,58
Morehouse College,Yes,3708,1678,722,41,66
Morningside College,Yes,586,533,239,16,36
Morris College,Yes,882,730,330,2,13
Mount Holyoke College,Yes,1800,1314,526,47,79
Mount Marty College,Yes,279,276,126,17,37
Mount Mary College,Yes,235,217,121,12,32
Mount Mercy College,Yes,368,317,159,20,49
Mount Saint Clare College,Yes,325,284,95,16,33
Mount Saint Mary's College,Yes,1321,1159,328,15,36
Mount Saint Mary College,Yes,1170,695,238,14,48
Mount St. Mary's College,Yes,657,537,113,37,90
Mount Union College,Yes,1310,1086,458,26,61
Mount Vernon Nazarene College,Yes,510,485,334,18,36
Muhlenberg College,Yes,2519,1836,462,30,61
Murray State University,No,2225,1910,1190,29,55
Muskingum College,Yes,1109,922,375,24,46
National-Louis University,Yes,513,347,279,23,48
Nazareth College of Rochester,Yes,947,798,266,36,68
New Jersey Institute of Technology,No,1879,1216,483,27,62
New Mexico Institute of Mining and Tech.,No,787,601,233,40,73
Newberry College,Yes,872,722,154,14,36
Niagara University,Yes,2220,1796,467,65,99
North Adams State College,No,1563,1005,240,1,19
North Carolina A. & T. State University,No,4809,3089,1429,12,33
North Carolina Wesleyan College,Yes,812,689,195,7,24
North Central College,Yes,1127,884,308,30,64
North Dakota State University,No,2968,2297,1610,13,47
North Park College,Yes,465,361,176,19,39
Northeast Missouri State University,No,6040,4577,1620,36,72
Northern Arizona University,No,5891,4931,1973,23,48
Northwest Missouri State University,No,2729,2535,1257,8,29
Northwest Nazarene College,Yes,616,514,385,29,52
Northwestern College,Yes,860,811,366,22,56
Norwich University,Yes,1743,1625,626,8,29
Notre Dame College,Yes,379,324,107,15,37
Oakland University,No,3041,2581,1173,16,56
Oberlin College,Yes,4778,2767,678,50,89
Occidental College,Yes,2324,1319,370,52,81
Oglethorpe University,Yes,792,649,186,56,87
Ohio Northern University,Yes,2936,2342,669,35,62
Ohio Wesleyan University,Yes,2190,1700,458,36,65
Oklahoma Baptist University,Yes,758,681,484,35,59
Oklahoma Christian University,Yes,776,765,351,22,44
Oklahoma State University,No,4522,3913,2181,29,57
Otterbein College,Yes,1496,1205,428,26,57
Ouachita Baptist University,Yes,910,773,450,31,73
Our Lady of the Lake University,Yes,2308,1336,295,22,46
Pace University,Yes,8256,3750,1522,37,70
Pacific Lutheran University,Yes,1603,1392,504,31,68
Pacific Union College,Yes,940,668,385,20,48
Pacific University,Yes,943,849,288,41,71
Pembroke State University,No,944,774,440,14,34
Pepperdine University,Yes,3821,2037,680,86,96
Peru State College,No,701,501,458,10,40
Pfeiffer College,Yes,838,651,159,11,25
Philadelphia Coll. of Textiles and Sci.,Yes,1538,1259,468,19,42
Phillips University,Yes,692,576,174,19,50
Piedmont College,Yes,663,562,127,20,40
Pikeville College,Yes,404,400,169,28,48
Pitzer College,Yes,1133,630,220,37,73
Point Loma Nazarene College,Yes,809,687,428,20,43
Point Park College,Yes,875,744,207,7,38
Polytechnic University,Yes,1132,847,302,58,89
Prairie View A. and M. University,No,2405,2234,1061,10,22
Presbyterian College,Yes,1082,832,302,34,63
Princeton University,Yes,13218,2042,1153,90,98
Providence College,Yes,5139,3346,973,20,55
Queens College,Yes,516,392,154,32,62
Quincy University,Yes,1025,707,297,22,66
Quinnipiac College,Yes,3712,2153,806,17,45
Radford University,No,5702,4894,1742,15,37
Ramapo College of New Jersey,No,2088,957,362,6,29
Randolph-Macon College,Yes,1771,1325,306,21,46
Randolph-Macon Woman's College,Yes,696,616,169,35,66
Reed College,Yes,1966,1436,327,47,80
Regis College,Yes,427,385,143,18,38
Rensselaer Polytechnic Institute,Yes,4996,4165,936,53,82
Rhodes College,Yes,2302,1831,391,58,82
Rider University,Yes,3586,2424,730,16,31
Ripon College,Yes,587,501,211,28,52
Rivier College,Yes,484,386,141,6,28
Roanoke College,Yes,2227,1790,437,27,54
Rockhurst College,Yes,935,858,345,22,50
Rocky Mountain College,Yes,560,392,270,11,31
Roger Williams University,Yes,3304,2804,679,10,20
Rollins College,Yes,1777,1151,382,31,55
Rosary College,Yes,434,321,141,28,53
Rowan College of New Jersey,No,3820,1431,695,21,70
Rutgers State University at Camden,No,3366,1752,232,27,79
Rutgers State University at Newark,No,5785,2690,499,26,62
Sacred Heart University,Yes,2307,1896,509,19,51
Saint Ambrose University,Yes,897,718,276,12,48
Saint Anselm College,Yes,2095,1553,514,15,40
Saint Cloud State University,No,3971,3306,1921,10,34
Saint Francis College IN,Yes,213,166,85,13,36
Saint Francis College,Yes,1046,824,284,21,45
Saint John's University,Yes,933,800,444,18,45
Saint Joseph's College IN,Yes,920,684,225,24,42
Saint Joseph's College,Yes,833,682,217,12,33
Saint Joseph's University,Yes,2519,2003,776,39,71
Saint Joseph College,Yes,292,241,96,20,52
Saint Louis University,Yes,3294,2855,956,44,67
Saint Mary's College,Yes,888,734,393,26,60
Saint Mary's College of Minnesota,Yes,876,802,367,14,35
Saint Mary-of-the-Woods College,Yes,150,130,88,23,50
Saint Michael's College,Yes,1910,1380,463,16,64
Saint Olaf College,Yes,2248,1673,745,38,73
Saint Peter's College,Yes,1606,1413,530,23,38
Saint Vincent College,Yes,700,595,278,19,35
Saint Xavier University,Yes,785,647,295,15,65
Salem-Teikyo University,Yes,489,384,120,23,52
Salem College,Yes,335,284,132,28,69
Salisbury State University,No,4216,2290,736,20,52
Samford University,Yes,1680,1395,691,34,76
Santa Clara University,Yes,4019,2779,888,40,73
Sarah Lawrence College,Yes,1380,768,263,57,82
Savannah Coll. of Art and Design,Yes,1109,688,386,20,65
Schreiner College,Yes,584,413,131,19,51
Scripps College,Yes,855,632,139,60,83
Seattle Pacific University,Yes,1183,1016,411,42,82
Seattle University,Yes,2115,1540,494,28,72
Seton Hall University,Yes,4576,3565,1000,16,36
Seton Hill College,Yes,936,794,197,24,56
Shippensburg University of Penn.,No,5818,3281,1116,14,53
Shorter College,Yes,540,445,165,23,70
Siena College,Yes,2961,1932,628,24,68
Siena Heights College,Yes,464,419,183,10,31
Simmons College,Yes,1003,782,295,23,53
Simpson College,Yes,1016,872,300,27,57
Sioux Falls College,Yes,437,400,211,13,35
Skidmore College,Yes,4293,2728,591,25,62
Smith College,Yes,2925,1598,632,51,88
South Dakota State University,No,2807,2589,1701,13,37
Southeast Missouri State University,No,2281,1870,1408,18,43
Southeastern Oklahoma State Univ.,No,818,700,447,20,50
Southern California College,Yes,385,340,193,18,38
Southern Illinois University at Edwardsville,No,2540,2195,994,13,40
Southern Methodist University,Yes,4301,3455,1166,41,69
Southwest Baptist University,Yes,1093,1093,642,12,32
Southwest State University,No,1047,938,511,13,33
Southwestern Adventist College,Yes,321,318,172,11,27
Southwestern College,Yes,213,155,75,28,66
Southwestern University,Yes,1244,912,352,44,77
Spalding University,Yes,283,201,97,10,45
Spelman College,Yes,3713,1237,443,47,83
Spring Arbor College,Yes,372,362,181,15,32
St. Bonaventure University,Yes,1489,1313,375,13,45
St. John's College,Yes,323,278,122,31,51
St. John Fisher College,Yes,1368,1064,354,19,51
St. Lawrence University,Yes,2753,1820,505,31,56
St. Martin's College,Yes,191,165,63,5,25
St. Mary's College of California,Yes,2643,1611,465,36,80
St. Mary's College of Maryland,No,1340,695,285,42,73
St. Mary's University of San Antonio,Yes,1243,1020,414,33,60
St. Norbert College,Yes,1334,1243,568,30,56
St. Paul's College,Yes,651,581,243,8,17
St. Thomas Aquinas College,Yes,861,609,215,10,27
Stephens College,Yes,450,405,194,17,34
Stetson University,Yes,1557,1227,489,37,69
Stevens Institute of Technology,Yes,1768,1249,380,51,93
Stockton College of New Jersey,No,4019,1579,710,23,65
Stonehill College,Yes,3646,2300,585,25,69
SUNY College  at Brockport,No,7294,3564,904,7,34
SUNY College  at Oswego,No,8000,4556,1464,17,70
SUNY College at Buffalo,No,5318,3515,1025,8,29
SUNY College at Cortland,No,7888,3519,1036,6,40
SUNY College at Fredonia,No,4877,2798,814,13,48
SUNY College at Geneseo,No,8598,4562,1143,56,93
SUNY College at New Paltz,No,8399,3609,656,19,53
SUNY College at Plattsburgh,No,5549,3583,853,9,40
SUNY College at Potsdam,No,3150,2289,650,16,51
SUNY College at Purchase,No,2119,1264,390,5,33
Susquehanna University,Yes,2096,1512,465,27,59
Sweet Briar College,Yes,462,402,146,36,68
Tabor College,Yes,257,183,109,19,41
Talladega College,Yes,4414,1500,335,30,60
Taylor University,Yes,1769,1092,437,41,80
Tennessee Wesleyan College,Yes,232,182,99,7,29
Texas A&M University at Galveston,No,529,481,243,22,47
Texas Christian University,Yes,4095,3079,1195,33,64
Texas Lutheran College,Yes,497,423,215,27,57
Texas Southern University,No,4345,3245,2604,15,85
Texas Wesleyan University,Yes,592,501,279,19,44
The Citadel,No,1500,1242,611,12,36
Thiel College,Yes,1154,951,253,15,31
Tiffin University,Yes,845,734,254,5,21
Transylvania University,Yes,759,729,244,57,81
Trenton State College,No,5042,2312,944,55,94
Tri-State University,Yes,1262,1102,276,14,40
Trinity College CT,Yes,3058,1798,478,46,84
Trinity College DC,Yes,247,189,100,19,49
Trinity College VT,Yes,222,185,91,16,41
Trinity University,Yes,2425,1818,601,62,93
Tusculum College,Yes,626,372,145,12,34
Tuskegee University,Yes,2267,1827,611,20,59
Union College KY,Yes,484,384,177,9,45
Union College NY,Yes,3495,1712,528,49,84
Univ. of Wisconsin at OshKosh,No,4800,2900,1515,14,48
University of Alabama at Birmingham,No,1797,1260,938,24,35
University of Arkansas at Fayetteville,No,3235,3108,2133,25,65
University of Central Florida,No,6986,2959,1918,25,60
University of Charleston,Yes,682,535,204,22,43
University of Chicago,Yes,6348,2999,922,68,94
University of Dallas,Yes,681,588,246,44,74
University of Denver,Yes,2974,2001,580,29,60
University of Detroit Mercy,Yes,927,731,415,24,50
University of Dubuque,Yes,576,558,137,11,39
University of Evansville,Yes,2096,1626,694,35,67
University of Hartford,Yes,5081,4040,1194,11,26
University of Hawaii at Manoa,No,3580,2603,1627,36,69
University of Indianapolis,Yes,1487,1276,388,26,51
University of La Verne,Yes,1597,969,226,16,38
University of Louisville,No,4777,3057,1823,16,33
University of Maine at Farmington,No,1208,803,438,20,48
University of Maine at Machias,No,441,369,172,17,45
University of Maine at Presque Isle,No,461,381,235,10,40
University of Maryland at Baltimore County,No,4269,2594,985,27,57
University of Massachusetts at Dartmouth,No,3347,2597,1006,10,37
University of Minnesota at Duluth,No,4192,3126,1656,15,45
University of Minnesota at Morris,No,1458,874,588,56,86
University of Mississippi,No,3844,3383,1669,26,47
University of Missouri at Columbia,No,6574,4637,2940,32,62
University of Missouri at Rolla,No,1877,1826,823,49,77
University of Missouri at Saint Louis,No,1618,1141,479,18,54
University of Mobile,Yes,452,331,269,17,54
University of Montevallo,No,1351,892,570,18,78
University of New England,Yes,1209,750,265,19,54
University of North Carolina at Asheville,No,1757,979,394,32,74
University of North Carolina at Charlotte,No,5803,4441,1730,19,62
University of North Carolina at Greensboro,No,5191,4134,1500,15,44
University of North Carolina at Wilmington,No,6071,3856,1449,15,67
University of North Dakota,No,2777,2249,1652,20,54
University of North Florida,No,1800,1253,560,44,85
University of North Texas,No,4418,2737,2049,23,51
University of Northern Colorado,No,5530,4007,1697,12,37
University of Northern Iowa,No,4144,3379,1853,18,52
University of Notre Dame,Yes,7700,3700,1906,79,96
